Game,WhiteAlgo,BlackAlgo,Result,Moves
1,alphabeta,mcts,0,23
2,alphabeta,mcts,0,100
3,alphabeta,mcts,0,100
4,alphabeta,mcts,0,0
5,alphabeta,mcts,0,0
6,alphabeta,mcts,1,7
7,alphabeta,mcts,0,0
8,alphabeta,mcts,0,100
9,alphabeta,mcts,0,100
10,alphabeta,mcts,0,1
11,alphabeta,mcts,-1,2
12,alphabeta,mcts,0,100
13,alphabeta,mcts,0,100
14,alphabeta,mcts,0,100
15,alphabeta,mcts,1,30
16,alphabeta,mcts,0,100
17,alphabeta,mcts,1,9
18,alphabeta,mcts,0,2
19,alphabeta,mcts,0,100
20,alphabeta,mcts,1,24
21,alphabeta,mcts,0,100
22,alphabeta,mcts,1,38
23,alphabeta,mcts,1,17
24,alphabeta,mcts,-1,17
25,alphabeta,mcts,0,0
26,alphabeta,mcts,0,100
27,alphabeta,mcts,0,5
28,alphabeta,mcts,0,100
29,alphabeta,mcts,0,100
30,alphabeta,mcts,1,11

--- MATCH COMPLETE ---
alphabeta (White) wins: 7
mcts (Black) wins: 2
Draws: 21
Average game length: 49.5 moves
